State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,1610,0,758,1791,0,0,1442,607,338,428,0,1302,855,1590,2613,159,102,0,164,877,817,1120,43,1686,0,143,2668,0,1552,0,0
1981-82,1831,0,618,1871,0,0,1565,696,297,548,0,1409,1086,1677,3088,128,101,0,132,814,996,1360,45,2006,0,124,2942,0,1838,0,0
1982-83,1933,0,691,1940,0,0,1949,917,353,504,0,1739,996,1938,3585,137,117,0,166,1191,1122,1419,47,2292,0,145,3490,0,2072,0,0
1983-84,2588,0,942,2144,0,0,2178,960,385,620,0,2002,1322,2324,4244,158,139,0,215,997,1434,1585,67,2752,0,188,4116,0,2181,0,0
1984-85,3119,0,1165,2408,0,0,2463,1120,479,747,0,2615,1572,2522,5063,223,161,0,202,1281,1726,1838,76,2950,0,204,5186,0,2738,0,0
1985-86,3413,0,1207,2966,0,0,2625,1315,588,889,0,2894,1969,2916,5732,247,188,177,272,1410,1963,2116,104,3309,0,259,5331,0,2974,0,0
1986-87,4068,251,1586,3360,0,255,3323,1509,648,989,0,3069,2162,3349,6412,299,230,55,344,1730,1829,2557,115,3612,0,300,6225,0,3508,0,0
1987-88,4294,348,1794,3914,0,258,4089,1663,805,1269,0,3437,2251,3932,6929,319,264,306,436,1990,2623,3384,139,4196,0,393,6901,0,3941,0,0
1988-89,5223,326,1855,4324,0,284,4374,1879,985,1404,0,3778,2521,4596,8102,393,318,287,457,2261,2666,3415,164,4617,0,492,8079,0,4279,0,0
1989-90,5768,392,2266,5219,0,327,4844,2121,992,1611,0,4401,2889,4823,9737,423,351,303,515,2475,2887,3565,167,5662,0,525,9637,0,4883,0,0
1990-91,6581,398,2689,6217,0,395,5470,2397,1118,2021,0,4979,3376,5899,10772,453,406,502,552,3051,3400,4728,183,6621,0,613,12240,0,6028,0,0
1991-92,7758,443,2763,6805,0,466,6908,2727,2341,2286,0,6248,4005,6637,12052,533,492,414,648,3640,5012,5810,228,9600,0,677,13246,0,6191,0,0
1992-93,8984,503,3136,7743,0,499,7987,2956,1447,2321,0,7100,4363,7663,14014,824,543,490,857,3915,4208,6347,250,9748,0,657,16135,0,6646,0,0
1993-94,10541,575,3620,8433,0,558,8408,4109,1691,2593,0,8089,5138,8878,15983,637,682,522,932,4456,5221,7427,263,10062,0,785,16275,0,7973,800,0
1994-95,12459,691,3998,8555,0,601,9498,6912,2009,3339,0,8859,5959,9315,20026,675,587,592,906,4982,7505,8421,601,11432,0,880,21062,0,9283,2407,0
1995-96,14301,803,4390,9417,0,943,10811,6131,2350,3573,0,10406,6922,10582,21377,811,779,715,1040,5563,7004,10907,993,12532,0,990,20787,0,10509,2952,0
1996-97,16265,891,4267,9407,0,946,12576,7831,2633,4021,0,11981,7943,13093,25005,1014,785,810,1096,6310,7547,10964,1241,15402,0,1179,23017,0,13032,3515,0
1997-98,17745,972,5022,10216,0,1270,14875,7806,3453,4893,0,12601,9818,14225,27675,1133,851,870,1230,6854,9472,12685,1394,17333,0,1350,26626,0,13557,4211,0
1998-99,21958,1004,5204,12171,0,1458,19172,8581,4167,5849,0,14886,10611,15968,30317,1116,1008,893,1491,8642,10963,14314,1621,19880,0,1531,31462,0,17153,4943,0
1999-00,22767,1098,7086,19548,0,1614,21466,8359,4714,7108,0,17818,12900,17957,38244,1780,1195,1161,1495,10120,11980,16256,1620,22627,0,1773,34615,0,22677,5912,0
2000-01,28119,1206,7631,16946,1917,1962,27175,9159,5315,7829,0,19664,13149,16924,42208,1381,1424,1288,1835,11047,14111,17494,947,24437,0,2135,36681,1110,26741,7362,0
