Year,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,222.1,0,-27.4,335.8,0,0,246.5,112,-34.9,144.5,0,225.9,179.8,337.2,463.3,-6.7,-7.7,0,-26.3,134.1,159.8,206.7,5.6,210.4,0,-9.1,551.4,0,289.2,0,0
1981-82,243.7,0,171.7,409.1,0,0,253.9,101.6,56.6,135.9,0,118,61.7,237.5,488.5,27.1,16.5,0,20.1,141.8,178.3,326.5,4.8,212.5,0,24.8,452,0,380.1,0,0
1982-83,172.4,0,200.1,434.7,0,0,376.6,188.6,74.1,142,0,279.9,122.9,290.5,551.5,17.4,15.1,0,29.5,212.2,182.8,274.9,-1.8,326.1,0,17.1,581.7,0,497.8,0,0
1983-84,493,0,327.2,328,0,0,397.6,133.7,57.9,198.3,0,287.7,299.3,366.4,739.7,26.2,10,0,41,191.6,262.1,297.5,6.9,363.6,0,34.9,1082.3,0,413.9,0,0
1984-85,591.4,0,366.6,395.9,0,0,520.2,234.8,79.5,248.2,0,563.3,232.3,494.2,1050.5,14.5,2,0,-4.6,328.4,479.2,362.7,-2.8,397.7,0,12.4,1493.6,0,339.7,0,0
1985-86,435,0,154,326,0,0,514,230,35,247,0,550,323,516,1234,-9,-8,41,-12,326,566,343,12,365,0,15,1058,0,259,0,0
1986-87,804,23,243,461,0,61,900,170,89,244,0,514,440,561,1065,32,5,-22,30,372,343,467,1,454,0,15,1410,0,587,0,0
1987-88,568,38,421,825,0,72,976,216,129,417,0,518,448,725,1014,17,1.5,102,60,506,968,903,9,660,0,62,1014,0,551,0,0
1988-89,673,1,303,535,0,64,735,289,254,410,0,497,412,871,1277,33,10,11,48,550,833,736,11,654,0,84,1802,0,579,0,0
1989-90,972,75,528,994,0,95,952,393,226,524,0,625,604,723,1844,71,31,-3,141,574,909,581,30,919,0,89,2482,0,1055,0,0
1990-91,967.1,25.8,567.5,1594.6,0,96.1,1798.2,385.7,278.6,661.2,0,558.5,798.5,1019.3,1610.9,39.6,41.2,-94.4,101.9,616.2,1242.2,544.8,20.2,1126.3,0,85.6,3067.6,0,1633.7,0,0
1991-92,1125.3,-20.3,254.7,1617,0,125.3,1875.7,374.7,223.8,448.7,0,917.8,803.4,984,1656.9,69.1,72.2,4.8,95.7,913.2,1150.5,792.4,41.1,1299.9,0,93.9,2836.6,0,1143.7,0,0
1992-93,1569.3,-9.3,208.1,1330.9,0,90.3,1173.6,444.1,311.5,203.5,0,1386,732,876.3,2585.6,18.2,93.1,59.5,138.2,740.1,1252,1158.7,34.1,1749.1,0,23,3710.9,0,1012.5,0,0
1993-94,1833.2,16.1,-17.9,1339.3,0,59.6,526.4,479.9,152.1,87.7,0,1254,935.2,982.5,2265.3,-20.4,87.6,7.6,174.2,901.5,1493.4,1470,30.7,1357.6,0,111,3165.8,0,1671.9,231.7,0
1994-95,2348.5,73.2,710.6,1342.1,0,44.5,1292.4,534.6,620.4,-23.4,0,1512.9,1108.7,1416.9,2861.4,62.1,35.3,38.4,238.8,1158.9,1785.2,1762.7,45.7,1496.4,0,110,4766.5,0,1965.3,388.9,0
1995-96,2416.8,39.8,652.2,1570.6,0,97.3,1745.6,986,521.4,96.6,0,1456.8,1302.7,1633.4,4150.8,104.7,51.9,70.7,231,1395.9,1364.6,2574.3,40.1,1255.9,0,33.9,4380.6,0,2696.3,555.9,0
1996-97,2811.5,70.1,73.8,890.6,0,104,2358.3,1099.4,572,166.2,0,1944,1542.5,1926.3,4953.7,167.5,23.1,125.3,184.2,1602,1464.7,2506.5,55.9,2445,0,121.7,5956.2,0,3396.9,690,0
1997-98,2427.8,121,142.1,981.4,0,124.6,3174.5,1127.6,1202.2,443.6,0,1609.8,2413.9,1820.6,6442.2,187.5,126.5,124.2,203.9,1802.5,2477.6,2552,66.9,2121.7,0,195.8,7576,0,4007.7,726.4,0
1998-99,5705.6,55.4,338.2,2378.9,0,269.1,5619,2240.4,1661.5,1054.4,0,3112.1,3012.2,4126.7,7462.4,106.2,147.3,132.3,243.2,2915.5,3779.3,5150.9,146.9,4777.1,0,118.4,11632.5,0,7109.1,959.2,0
1999-00,4976.4,59.3,1605.8,6107.7,0,341,6792,2132.5,189.6,1338.6,0,4276.5,4536.6,3911.4,11706.2,655.8,209.1,179.1,249,3746.1,3194.7,5361.2,92.6,5382.3,0,290.3,11098.7,0,11666.4,1381.6,0
2000-01,7305.9,210.1,1540,4884.3,-47.5,412.9,7987.6,2265.2,1844.8,2166.4,0,4219.2,3877.8,2712.1,8975.8,234.4,249.6,375.3,358.8,3325.3,3903.8,4313.2,50.5,5076,0,445.2,10179.5,136.4,10920.2,1609.7,0
2001-02,6723.1,274.7,1448.1,4010.3,1060.7,412.8,6510.8,2739.6,1511.3,748.1,1642.7,5869.9,3269.4,3649.4,10897.7,340.3,220.9,422.4,366.1,3964.2,4958,5748.4,66.8,4739.4,0,538.2,9898.1,424.2,11804.1,1733,0
2002-03,7630,210,930,4910,970,380,6080,1470,2340,1250,2190,5280,4990,4060,14290,250,160,320,440,2820,4400,6110,10,6740,0,540,9500,890,10570,2400,0
2003-04,7450,250,1390,4110,2200,450,9160,2930,2380,-20,1660,4500,5540,7320,17930,290,200,310,-160,3570,4880,7370,50,5590,0,340,16650,1410,12870,2440,0
2004-05,8190,390,2060,1240,1230,550,8700,1210,1810,1010,3650,3600,4450,6490,18620,450,310,230,220,1370,4040,6150,190,5570,0,240,13000,2170,10650,1480,0
2005-06,8300,260,-360,3700,430,600,6270,290,720,1590,4920,3690,4180,4570,17630,270,180,400,310,280,2660,5150,150,2250,0,110,10080,1880,9600,-250,280
2006-07,5640,-110,-710,3020,-30,490,5650,-1180,920,1460,5260,4690,3820,2750,11550,480,80,190,160,-820,4380,3970,100,3960,0,-130,9620,890,11430,410,400
2007-08,8790,-20,-790,1710,130,540,4770,1260,550,2610,6220,5330,6100,2780,-2820,-100,210,390,400,-1320,4600,3410,60,3690,0,20,13790,1740,11400,2040,330
2008-09,12410,330,-1410,2510,1030,810,10440,6560,2280,2330,3750,8730,6350,4430,14000,220,440,90,340,330,6690,6970,230,8550,0,270,20510,1840,13560,2820,370
2009-10,14010,500,4040,5270,1760,1240,15150,10090,2780,2230,1780,10870,7870,6200,26160,730,230,310,520,2270,6170,10300,170,11810,0,-70,18690,2780,24950,3550,580
2010-11,11800,-10,1990,3970,-410,570,15070,7260,1830,2370,4840,10690,7730,5270,18860,570,340,650,310,660,7140,4130,320,16650,0,250,17250,1840,19530,-730,710
2011-12,15400,990,1650,5910,800,880,11030,7150,1630,3690,1930,12300,12810,5760,19970,1050,1070,210,540,-620,8490,3630,180,17270,0,-260,15430,1760,17700,2550,820
2012-13,17510,230,1520,6550,2660,1150,16490,10360,2980,4220,3400,14510,15000,9420,13740,0,400,580,650,0,9350,8530,70,16520,0,-340,19240,1600,19150,2280,220
2013-14,18040,1610,3780,8350,5060,1350,18420,8310,4010,4550,2220,17090,16940,9880,26020,-270,380,750,460,4630,8790,15190,50,20580,0,-50,23680,2650,25350,3940,540
2014-15 (RE),20320,3560,16260,32820,5770,1740,18380,15630,3830,6630,4910,19030,16000,13570,37250,930,530,2000,850,9140,10400,23160,450,27350,17400,1320,28380,3970,23880,350,550
2015-16 (BE),17580,510,4680,13580,6840,2710,22050,16420,3280,6630,5160,20220,17700,16750,30730,580,820,110,1160,10400,11900,20610,520,31830,16970,1940,31560,4100,15980,420,610
