State,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,8191,107,2516,7353,0,398,7427,3386,794,1186,0,6210,4286,7788,16631,218,200,68,119,3708,5025,4637,52,8081,0,286,15554,0,10345,0,0
1981-82,10041,142,3228,8562,0,436,9253,3911,925,1361,0,7169,4610,8564,18738,265,230,78,147,4162,5954,5461,59,9712,0,339,16887,0,11575,0,0
1982-83,10844,166,3657,9635,0,519,9887,4485,987,1561,0,8012,5373,9822,20315,285,256,87,180,4448,6602,6246,70,10025,0,386,19724,0,13049,0,0
1983-84,12564,189,4347,10945,0,549,12681,4890,1127,1782,0,9610,6272,11471,23457,337,298,106,209,5708,7326,7863,80,11646,0,426,21896,0,15302,0,0
1984-85,13576,221,5113,13004,0,666,13311,5382,1139,2021,0,10831,6977,11871,25558,382,343,135,243,5694,8354,7936,102,13658,0,474,24211,0,17676,0,0
1985-86,15266,269,5673,14295,0,655,13988,6552,1372,2256,0,11575,7520,13905,29616,418,393,181,273,6823,9506,8797,122,15648,0,524,27748,0,19033,0,0
1986-87,16404,305,6176,16261,0,771,16174,6889,1517,2620,0,13271,8536,14513,32009,479,447,214,308,7427,10429,9957,145,17513,0,580,30657,0,20803,0,0
1987-88,19608,330,7001,17638,0,856,16339,7739,1722,2524,0,15158,9578,18397,37754,604,534,286,395,7614,12255,10925,167,20693,0,668,34352,0,25078,0,0
1988-89,24732,387,7600,21181,0,978,22349,10015,2157,3065,0,17709,10673,21663,45160,680,589,288,477,9613,14088,14555,185,23199,0,853,41102,0,27107,0,0
1989-90,28284,412,9084,22610,0,1128,24777,11147,2436,3299,0,20214,12213,24492,55674,720,761,312,545,11025,16980,15794,204,27134,0,936,46926,0,30623,0,0
1990-91,33336,508,10621,26429,0,1257,27996,13636,2815,3614,0,23300,14098,30472,64433,821,890,341,655,10904,18883,20710,234,31339,0,1031,55506,0,34797,0,0
1991-92,40659,629,11848,29519,0,1551,30632,16339,3317,4110,0,30092,17530,32609,73406,986,1037,465,786,14012,22842,23012,259,36957,0,1165,64677,0,40380,0,0
1992-93,44395,741,13048,31914,0,1872,40316,17343,3824,4558,0,33036,19937,36583,90921,1093,1152,533,918,15138,26275,27047,267,43010,0,1231,70704,0,43290,0,0
1993-94,57867,893,15143,22812,16194,2397,49194,22131,4783,6343,41079,26326,37971,14171,113320,1308,1511,711,1375,18537,30248,32970,403,57549,0,1777,80451,5686,53424,20992,981
1994-95,68923,970,17551,25945,18087,2838,63516,26245,5825,6977,47915,31877,42339,15562,130073,1405,1665,739,1596,22224,34218,41487,440,68666,0,1881,94019,6914,62032,25847,1127
1995-96,79854,1184,19411,24483,19749,3319,71886,29789,6698,8097,56215,38762,47841,17177,157818,1627,1995,937,1814,27118,38615,47313,520,78205,0,2296,106249,7529,73865,28390,1320
1996-97,90147,1212,21017,32541,21191,3965,85837,35642,7755,9124,65176,44460,55049,19404,179311,1898,2198,1072,2024,26504,44198,57516,592,89237,0,2757,127778,8242,82075,33803,1907
1997-98,95782,1337,22806,33662,27716,4921,91188,38649,8837,10286,73046,49484,60062,21658,195168,2158,2497,1123,2324,32235,48704,64061,680,103550,0,3298,137561,8984,97966,41235,2625
1998-99,114937,1515,25558,39033,30551,6075,105305,43646,10696,11415,87841,56204,69216,24061,209699,2430,2939,1246,2385,35581,55736,73180,787,118209,0,3814,153853,9946,115516,47484,2982
1999-00,128797,1612,34833,50174,34323,6330,109861,51375,14112,15660,101247,69168,80132,27249,247830,3260,3578,1550,2802,42986,67162,82720,896,134185,0,4867,175159,12621,135376,55220,3235
2000-01,144723,1787,36814,57242,32093,6757,111139,58183,15661,16700,108362,72659,79203,25846,252283,3112,3961,1737,3399,43351,74677,82435,1014,146796,0,5499,181512,14501,143725,60125,3864
2001-02,156711,2104,38313,57657,35069,7097,123573,65505,17148,18039,112847,77924,86745,29539,273188,3369,4478,1947,3972,46756,79611,91771,1136,148861,0,6370,190269,15826,157144,65027,4259
2002-03,167096,2071,43407,64965,37967,8100,141534,72528,18905,20326,120889,86895,86832,32493,299479,3506,4763,2166,4467,49713,82249,88550,1276,158155,0,6733,206855,18473,168000,71361,4931
2003-04,190017,2368,47305,66174,42449,9301,168080,82862,20721,22194,130990,96698,102839,38802,340600,3979,5280,2325,4812,61008,90089,111606,1430,175371,0,7551,226972,20439,189259,79468,5438
2004-05,134767,3488,53398,77781,47862,12713,203373,95795,24077,27305,59758,166747,119264,112927,415480,5133,6559,2682,5839,77729,96839,127746,1739,219003,89946,8904,260841,24786,208656,100325,5754
2005-06,147606,3755,59385,82490,53381,14327,244736,108885,27127,29920,60901,195904,136842,124276,486766,5718,7265,2971,6588,85096,108637,142236,1993,257833,108335,9826,293172,29968,230245,115374,7977
2006-07,174064,4108,64692,100737,66875,16523,283693,128732,30274,33230,66935,227237,153785,144577,584498,6137,8625,3290,7257,101839,127123,171043,2161,310526,126971,10914,336317,36795,261682,135584,8335
2007-08,212361,4810,71076,113680,80255,19565,329285,151596,33963,37099,83950,270629,175141,161479,684817,6783,9735,3816,8075,129274,152245,194822,2506,350819,152452,11797,383026,45856,299483,157947,9251
2008-09,237383,5687,81074,142279,96972,25414,367912,182522,41483,42315,87794,310312,202783,197276,753969,7399,11617,4577,9436,148491,174039,230949,3229,401336,189382,13573,444685,56025,341942,189533,10050
2009-10,273327,7474,95975,162923,99364,29126,431262,223600,48189,48385,100621,337559,231999,227557,855751,8254,12709,5260,10527,162946,197500,265825,6133,479733,203508,15403,523394,70730,398880,217619,12304
2010-11,319864,9021,112688,203555,119420,33605,521519,260621,57452,58073,127281,410703,263773,263396,1049150,9137,14583,6388,11759,197530,226204,338348,7412,584896,263898,17868,600286,83969,460959,252753,13092
2011-12,379229.63,11062.68581,143174.91,247143.9562,158073.8309,42252.73688,615606.0723,300755.5681,72719.83498,77944.98239,150917.59,603777.5823,364047.8726,315560.91,1272966.952,12914.6091,19917.74838,7258.69,11839.11899,225283.4816,266628.2913,436465.2851,11165.09684,751485.0883,361700.68,19208.41,724048.5532,115523.49,528316,343260.4097,16818.01
2012-13,410960.81,12546.64971,156864.24,282367.9373,177511.32,38647.28947,724495.7885,350406.6094,82819.77858,86537.33448,174723.69,692224.0719,412312.9962,380926.18,1448465.903,13747.7938,21872.02373,8361.93,13618.77437,255272.6132,297733.8157,494003.8484,12338.42038,855480.8552,404104.79,21663.2,822902.9887,131835.22,603311,391071.359,18875.45
2013-14,468493.95,14607.35643,177745.22,317101.3413,206785.73,42243.44922,807623.1973,395747.7261,94764.15963,97400.30947,188566.62,818167.1863,465039.756,435789.86,1647506.471,16198.4303,22938.23608,10293.3674,16611.8464,277270.686,334714.2895,549700.6014,13861.90232,971089.8718,460171.51,25592.83,944145.7151,149816.6,706561,446806.823,21870.12
2014-15,532921.99,16389.23232,198098,373919.8816,236317.82,45547.55379,895926.713,441864.263,104368.7884,102680.5109,217107.18,920061.4466,526774.3755,484537.56,1792121.649,18042.7571,24064.99005,11559.32621,18414.24099,309807.2182,368010.8889,612194.4688,15209.32709,1092563.733,522001.08,29666.61608,1043371.15,161985.29,800868,494460.341,24088.57
2015-16,603376.25,19472.53454,0,413503.2077,0,0,0,0,0,0,241955,1040147.944,0,565053.43,0,0,27304.50833,0,0,332329.1338,0,0,16636.78419,1212667.991,583117.25,0,1153794.59,184091.31,0,558745.2599,26533.45555
