State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,582,0,66,277,0,0,531,234,34,38,0,475,337,386,1130,3,5,0,4,132,349,230,3,639,0,4,645,0,514,0,0
1981-82,703,0,90,338,0,0,661,291,42,60,0,607,374,476,1384,4,6,0,6,160,432,312,3,842,0,5,823,0,616,0,0
1982-83,808,0,108,382,0,0,763,337,48,62,0,674,438,558,1648,4,7,0,7,174,491,390,3,1012,0,6,929,0,638,0,0
1983-84,965,0,136,442,0,0,879,366,54,71,0,760,487,643,1823,5,10,0,10,201,544,441,4,1145,0,8,992,0,769,0,0
1984-85,1174,0,189,464,0,0,980,406,61,79,0,909,622,713,1966,6,12,0,9,228,567,487,5,1298,0,8,1140,0,937,0,0
1985-86,1439,0,235,576,0,0,1075,502,74,104,0,1076,731,831,2377,7,15,2,10,286,670,566,6,1548,0,10,1291,0,1124,0,0
1986-87,1559,2,245,659,0,61,1264,566,92,118,0,1206,814,974,2792,9,18,0,13,338,803,656,7,1757,0,12,1529,0,1219,0,0
1987-88,1819,2,249,761,0,52,1526,664,103,123,0,1415,925,1115,3219,12,20,4,15,387,916,773,11,1762,0,14,1989,0,1449,0,0
1988-89,2122,2,279,831,0,62,1871,795,118,138,0,1699,1066,1338,3823,12,28,2,16,443,1041,893,11,1994,0,18,2066,0,1735,0,0
1989-90,2384,2,333,925,0,70,2160,910,142,133,0,1932,1233,1578,4401,13,31,3,12,525,1228,1073,11,2489,0,21,2449,0,1938,0,0
1990-91,2650,0,420,1140,0,90,2400,1070,160,160,0,2330,1340,1750,5120,20,40,0,20,670,1290,1220,10,3120,0,30,3160,0,2130,0,0
1991-92,3060,0,510,1310,0,110,2890,1300,190,160,0,2900,1670,2120,5950,10,40,0,20,670,1540,1550,10,3730,0,30,3500,0,2450,0,0
1992-93,3390,0,520,1560,0,140,3460,1450,220,210,0,3100,1890,2330,6560,20,40,10,20,760,1760,1730,10,4160,0,30,3890,0,2610,0,0
1993-94,3830,0,610,1750,0,190,3940,1590,260,230,0,3810,2340,2680,7700,20,50,10,20,860,2150,1950,10,4800,0,40,4130,0,2910,550,0
1994-95,4230,10,630,1840,0,230,4740,1890,300,240,0,4290,2800,2870,9450,20,60,10,20,920,2600,2310,10,5830,0,40,4880,0,3730,1790,0
1995-96,4120,10,700,1970,0,270,5320,2170,340,290,0,5270,3380,3520,10930,30,70,10,20,1130,2650,2730,20,7150,0,50,5470,0,4130,2110,0
1996-97,4880,10,770,2250,0,300,6070,2140,410,290,0,5770,3900,4100,11720,10,80,10,30,1340,2740,3120,20,7980,0,60,6310,0,4260,2530,0
1997-98,7110,10,880,2390,0,370,6590,2370,480,370,0,6410,4500,4560,13720,40,70,10,30,1420,3040,3610,30,8690,0,70,7000,0,4520,2940,0
1998-99,7960,10,980,2670,0,360,7620,3120,570,440,0,6940,4650,5110,14200,30,90,10,40,1490,3260,3940,30,9630,0,80,7910,0,4780,3090,0
1999-00,9010,10,1230,3640,0,460,8160,3520,620,580,0,7740,5190,5800,17270,40,100,10,40,1700,3950,4530,30,10920,0,100,9400,0,5100,3430,0
2000-01,10550,20,1410,2940,750,520,9050,4310,730,750,0,9040,5870,5640,19720,50,120,10,60,2180,4900,5300,70,12280,0,130,10980,300,5920,4400,0
