State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,-104,0,-165,-59,0,0,-122,-59,-104,15,0,-59,28,-118,-121,-41,-30,0,-52,-81,-18,-65,-7,-128,0,-36,-183,0,23,0,0
1981-82,-80,0,36.8,7,0,0,-120.3,-50.5,-21.8,-2.3,0,-164.3,-96,-229.3,-147.4,-10,-8.1,0,-7.8,-28,-62.6,-34.3,-7.5,-81.7,0,-5.8,-353.4,0,87.8,0,0
1982-83,-132.6,0,43.9,37.7,0,0,-66.3,-44.8,-9.1,1,0,-41.9,-26.8,-187.8,-210.1,-20.3,-11.8,0,-5.5,23,-102.5,-54.5,-12.8,-101.9,0,-15.2,-192.4,0,242.4,0,0
1983-84,88.6,0,137.2,-72.1,0,0,-139,-75.9,-32.7,46.5,0,-72.9,58.2,-176.3,-70.8,-24.4,-24.6,0,3.3,-0.4,-59.3,-44.7,-6.8,-51.7,0,-4.9,105.8,0,206.2,0,0
1984-85,169,0,135.8,-106.7,0,0,-68.3,-29.6,-37.6,70.9,0,143.6,13.7,-79.1,212,-37.6,-31.2,0,-37.6,74,9.4,75.9,-18.7,-17.2,0,-36.5,147.3,0,371.9,0,0
1985-86,7.3,0,5.6,-297.7,0,0,70,-106.1,-107.8,-6.6,0,84.7,74.2,-70.4,316.7,-70.4,-48,1.5,-60.8,60.1,-7.3,2.2,-14.1,-188.6,0,-41.2,-174.6,0,-82.9,0,0
1986-87,189,-39,-61,-346,0,1,309,-163,-70,-42,0,-79,152,-35,0.6,-50,-58,-22,-34,20,-90,60,-32,-103,0,-42,177,0,188,0,0
1987-88,-37,-50,84,-190,0,7,286,-17,-41,107,0,110,195,59,-74,-72,-66,52,-23,75,229,356,-28,283,0,-20,-252,0,115,0,0
1988-89,-33,-93,62.1,-277.5,0,-12,126.7,1.9,69.8,63.9,0,38.7,163.9,145.8,240.8,-65,-77.7,-43,-41.2,107.8,244.1,218.5,-36,274.2,0,-15.1,604.5,0,137.2,0,0
1989-90,238.2,-31.6,136.7,34,0,11,126,95,61,123,0,147,250,-98,374,-33,-50,-64,46,105,221,30,-19,479,0,-7,1031,0,477,0,0
1990-91,157.6,-100.1,143.8,566.1,0,-7.2,702.7,19.7,94.8,91.2,0,78.9,422,200.7,54.7,-88.5,-42.2,-157.1,5.2,19.6,544.2,-168,-31.4,553.4,0,1.7,1228.3,0,1018.9,0,0
1991-92,169.6,-158.2,-269.7,885,0,9.5,575.6,32.2,-9.9,-104,0,178.7,364.3,43.8,276.1,-73.3,-35.6,-79,-6.3,187.7,480.9,-48.5,-27.4,1903.9,0,-15.6,724.6,0,646.1,0,0
1992-93,123.8,-163.2,-162.3,606,0,-8.5,299.8,1.7,93.1,-267,0,170,337.4,-285.3,728.5,-82.2,-18.2,-47.2,13,135.7,635.6,109.5,-29.5,1526.2,0,-53.9,1014.5,0,436.6,0,0
1993-94,-232.3,-147.5,-416.3,689.5,0,-33.2,-96.2,-80.5,-113.6,-459,0,-116.4,371.3,448.1,121.9,-140.9,-17.9,-83.9,47.2,274.4,766.9,300.7,-36,691.9,0,0.3,1148.7,0,984.3,-59,0
1994-95,727.8,-166.6,309.3,933.4,0,-56.2,-262.2,390.5,307.9,-702.5,0,296.2,399.9,190.5,-277.3,-83.7,-73.3,-74.9,90.8,459.6,741.8,424.8,-19.8,415.6,0,-35.6,2002.7,0,767.1,-549.6,0
1995-96,738.9,-246.5,200,1078.9,0,-32.9,222,346.8,150.3,-740.7,0,-62.3,402.8,477.4,609.1,-72.9,-103.5,-62.3,64.1,807.1,450.2,701.9,-60,311.3,0,-150.7,2340.7,0,1250.2,-419.4,0
1996-97,3199.1,-206.7,-284.5,216,0,-21.5,591.4,718.7,154.9,-791.6,0,578.9,643,1447.8,1590.6,-100,-113.5,-46.9,-8.8,830.5,1357.1,866,-38.7,1103.6,0,-121.8,3179.1,0,2135.2,-764.2,0
1997-98,703.2,-172.3,-287.1,263.9,0,14.1,1017.8,719.4,528.7,-808,0,276.8,1122.9,469.3,2579.9,-65.3,-11.6,-59.9,10.9,904.5,1483.9,581.8,-41.4,1363.9,0,-21.7,4623.9,0,2294.1,-1158.7,0
1998-99,2684.1,-177.1,-90.2,1350.5,0,140.8,2863.4,1540.2,1022.3,400.2,0,1215.2,2030,2871.8,3925.9,-108.1,-17.3,-44.1,13.4,2264.8,2628.7,2996.3,54.9,3436.6,0,-92.7,8696.2,0,4856.2,-820,0
1999-00,1233.3,-199,1004.7,3549.7,0,208.9,3616.8,1185.3,106.3,541.6,0,2325.3,3624.2,2932.3,4268.8,287.1,-15.9,-59.3,36.3,2573.9,2727.4,3639.9,-1.9,4400.3,0,22.6,7252.6,0,9287.3,-751.3,0
2000-01,3595.1,-51.9,779.5,2960.7,-271.1,226,6302.2,607.5,1330.6,1258.6,0,1862.2,3147.1,1319.3,7834,86.3,-52.7,193.4,0.4,1926.8,2336,2633.6,-99.3,3435.8,0,96,6289.3,-10.6,7581.3,-1747.5,0
2001-02,2881.3,-28,881.4,2341.9,538.4,228.5,6731.5,1056,860.5,-735.5,p,3284.5,2605.6,3167.8,8188.6,161.2,33.6,260.4,-44.9,2829.6,3781.2,3795.7,-142.9,2738.9,0,-54.4,6181.8,99.6,8856.1,-1209.6,0
2002-03,3054,-77,319,2457,113,167,3565,685,1482,-652,331,2646,4122,1169,9371,87,-84,109,107,1576,3754,3934,-198,4851,0,81,5117,457,8635,-2068,0
