State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,1161,0,357,929,0,0,903,401,188,273,0,895,668,1016,1917,71,60,0,92,541,550,688,30,1152,0,87,1716,0,1115,0,0
1981-82,1386,0,402,1167,0,0,1039,486,212,296,0,1002,755,1115,2238,85,74,0,101,574,620,823,32,1360,0,91,1906,0,1312,0,0
1982-83,1507,0,483,1357,0,0,1283,567,263,326,0,1239,783,1328,2628,92,85,0,128,825,684,955,36,1576,0,109,2364,0,1622,0,0
1983-84,2042,0,688,1432,0,0,1426,623,284,422,0,1417,992,1624,3181,105,100,0,165,783,820,1099,49,1911,0,140,2761,0,1739,0,0
1984-85,2463,0,835,1687,0,0,1701,761,344,509,0,1884,1139,1734,3880,134,117,0,163,897,941,1303,59,2210,0,146,3292,0,2151,0,0
1985-86,2781,0,943,2098,0,0,1972,854,411,595,0,2098,1445,2103,4491,156,135,132,204,1001,1163,1508,78,2450,0,190,3702,0,2260,0,0
1986-87,3245,173,1149,2277,0,172,2469,967,464,653,0,2205,1655,2532,4979,198,156,46,263,1248,1202,1867,81,2776,0,232,4349,0,2698,0,0
1987-88,3441,246,1326,2619,0,169,3093,1288,609,861,0,2667,1781,3053,5505,215,190,246,328,1408,1634,2539,99,3375,0,294,5080,0,3028,0,0
1988-89,4246,214,1435,3211,0,199,3362,1443,768,966,0,3002,2061,3618,6541,278,225,231,344,1659,1868,2571,113,3763,0,381,6257,0,3475,0,0
1989-90,4715,258,1669,3945,0,228,3727,1702,783,1081,0,3483,2298,3779,7903,299,259,240,393,1846,2021,2698,115,4731,0,420,7654,0,3971,0,0
