State,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Delhi,Puducherry
1980-81,532,0,171,452,0,0,406,137,106,125,0,348,391,397,754,41,30,0,38,274,252,323,9,506,0,49,821,0,592,0,0
1981-82,613,0,176,598,0,0,472,173,113,134,0,400,424,456,847,44,35,0,40,258,280,425,11,605,0,40,824,0,691,0,0
1982-83,697,0,215,673,0,0,643,235,128,149,0,485,441,547,1031,47,40,0,48,470,292,498,11,798,0,47,1015,0,843,0,0
1983-84,1073,0,339,677,0,0,669,242,139,179,0,525,557,677,1282,61,54,0,62,357,354,544,16,931,0,61,1131,0,856,0,0
1984-85,1193,0,382,758,0,0,841,281,156,215,0,658,618,773,1434,65,54,0,62,406,388,625,20,972,0,70,1333,0,1115,0,0
1985-86,1470,0,467,1231,0,0,1046,369,223,273,0,1010,918,1083,1968,80,70,74,84,559,681,768,35,1444,0,115,1861,0,1202,0,0
1986-87,1849,78,597,1353,0,91,1252,360,251,338,0,1150,942,1237,2480,118,79,12,110,668,369,971,40,1559,0,133,2075,0,1500,0,0
1987-88,1884,102,681,1431,0,86,1537,488,322,460,0,1361,976,1527,2603,111,91,126,150,742,595,1439,46,1735,0,170,2337,0,1652,0,0
1988-89,2103,113,727,1849,0,122,1590,650,398,458,0,1441,1109,1810,2937,151,119,117,154,843,929,1412,57,1921,0,216,2919,0,1852,0,0
1989-90,2387,126,769,2027,0,136,1726,695,373,514,0,1534,1197,1877,3446,155,130,130,181,938,990,1405,56,2339,0,227,3610,0,2092,0,0
1990-91,2741,128,932,2381,0,162,1993,776,444,600,0,1842,1477,2439,3792,151,160,153,182,1113,957,1866,61,2985,0,264,4711,0,2824,0,0
1991-92,3121,137,1113,3073,0,181,2344,781,495,732,0,2299,1594,2664,4601,185,189,173,179,1310,1099,2036,73,3433,0,286,4443,0,2716,0,0
1992-93,3662,172,1138,3143,0,192,2456,955,581,887,0,2557,1791,3020,5561,196,198,200,224,1492,1058,2393,81,3929,0,261,5573,0,2747,0,0
1993-94,3919,198,1397,3434,0,216,2844,1093,621,901,0,3063,2061,3508,6204,210,238,212,269,1747,1335,2783,90,4251,0,324,5212,0,3323,386,0
1994-95,4265,217,1538,3524,0,223,3273,1304,731,1047,0,3449,2387,3854,6723,241,216,239,299,1864,1565,3291,101,4550,0,383,6031,0,3827,1155,0
1995-96,5507,263,1815,3796,0,257,3666,1698,881,1223,0,3995,2691,4416,8361,307,288,292,364,2188,1767,3912,151,5145,0,429,6466,0,4097,1365,0
1996-97,6284,317,1708,4014,0,292,4068,1628,994,1393,0,4526,3215,5267,9195,384,314,343,353,2467,1231,4324,166,6210,0,517,7693,0,4991,1714,0
1997-98,6759,334,1892,4375,0,350,4953,1829,1242,1623,0,4886,4239,5622,10609,416,338,320,370,2636,2242,4697,188,6654,0,594,9080,0,5180,2043,0
1998-99,8927,332,2151,5354,0,415,6609,2474,1553,1496,0,5851,4660,6887,11407,391,390,379,415,3246,3054,5953,254,8153,0,673,10477,0,6626,2245,0
1999-00,8831,372,2640,8338,0,470,7571,2572,1701,1726,0,6803,5432,7417,12844,605,502,506,479,4889,2724,6377,245,8862,0,776,11669,0,9338,2461,0
2000-01,10006,325,3077,7408,968,518,9681,3387,1963,2044,0,7541,5242,7153,15429,449,578,505,585,4065,3887,7224,259,9618,0,896,12135,355,9623,3000,0
2001-02,10876,449,3035,5783,2435,543,9029,3675,1912,2321,3727,7642,4932,6007,15452,550,565,542,544,4122,3730,7730,314,9190,0,968,12279,1320,9581,2989,0
2002-03,11179,421,3233,6466,2820,626,8177,2810,1973,2518,4904,7570,6338,7158,15704,562,570,562,567,4210,2990,8032,348,9662,0,974,13103,1708,8463,3492,0
2003-04,13367,620,3709,7023,3244,686,8992,2818,2348,2493,4320,8315,5924,6787,18877,603,640,652,644,4360,3525,9228,406,11586,0,963,12999,2027,9008,3465,0
2004-05,13821,650,4775,6117,3635,798,10127,3497,2328,3104,5127,9764,7344,7268,20433,873,741,647,629,4598,3747,9845,479,13617,0,1121,16932,2327,9732,4267,0
2005-06,14900,742,4452,8663,4295,880,10995,4742,2804,4030,6156,11675,7524,9425,24268,939,767,722,804,5386,4052,10920,501,14297,0,1121,20141,2781,11445,4566,797
2006-07,18654,843,5220,11127,5707,1010,13104,5605,3334,4348,7392,14407,7189,10658,28276,1041,873,798,914,6127,4706,12580,547,16921,0,1206,24032,3226,13142,5139,800
2007-08,24471,953,6056,13815,6947,1124,14893,7343,3736,5108,7984,17644,9010,12600,29721,1179,1039,940,1053,8196,4991,14683,663,19994,0,1399,30006,3726,16192,7353,927
2008-09,31440,1280,6760,16340,8870,1460,18180,9810,4570,5610,9870,20440,10860,14690,36500,1450,1220,1150,1120,11090,6860,19430,820,26890,0,1680,39510,4190,19470,8920,1060
2009-10,30280,1770,9160,17870,11680,1790,23170,13360,4910,6900,10040,25100,12030,17630,47360,1540,1400,1470,1170,12520,7110,21580,1010,29350,0,2180,47250,5620,27700,10510,1370
2010-11,39130,1570,10240,19370,11820,2090,28590,13640,6020,7430,12300,28690,13620,23450,53830,1930,1750,1600,1580,15240,8350,22790,1060,36490,0,2160,50670,5950,30560,10810,1560
2011-12,45400,2160,11190,24050,14810,2300,30350,16270,6000,8740,10720,32370,18740,27130,61130,2020,2340,1640,1610,18050,9970,27850,1450,41900,0,2690,59720,7380,35610,13210,1720
2012-13,49440,1940,12300,30740,16970,2500,38060,18990,7100,9120,12030,37830,21650,33370,70030,2050,2310,2120,1970,19660,12560,33700,1390,46750,0,2870,67440,7970,40100,14570,1410
2013-14,53740,2550,14510,34920,21050,2920,41880,18100,7890,9810,11710,41590,23950,35740,78200,2110,2720,2300,2150,24810,13080,41900,1690,55120,0,3250,76560,9380,45580,15430,1870
2014-15,46150,4150,28280,67080,30350,3800,51980,26670,9560,13540,24530,56740,31400,57530,100320,4520,6440,3190,3310,34970,17810,59940,2370,68280,46440,5970,102240,15340,59220,17780,2330
2015-16 (RE),52450,4060,27810,56140,37350,4680,57900,30790,11320,14200,27360,57450,36570,59290,110020,3350,3710,2910,3810,37440,18510,67370,2010,70980,51130,7210,116170,15200,62630,22230,2730
